"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","runtimeMinutes","genre","averageRating","Director","Star1","Star2"
"tt2436516","movie","Go Goa Gone","Go Goa Gone",0,2013,111,"Action","6.6","Krishna D.K.","Saif Ali Khan","Kunal Kemmu"
"tt2436682","movie","The Duel","The Duel",0,2016,110,"Drama","5.8","Kieran Darcy-Smith","Woody Harrelson","Liam Hemsworth"
"tt2438644","movie","Department Q: The Keeper of Lost Causes","Kvinden i buret",0,2013,96,"Crime","7.2","Mikkel Nørgaard","Nikolaj Lie Kaas","Per Scheel Krüger"
"tt2446042","movie","Taken 3","Taken 3",0,2014,108,"Action","6","Olivier Megaton","Liam Neeson","Forest Whitaker"
"tt2463208","movie","The Adam Project","The Adam Project",0,2022,106,"Action","6.7","Shawn Levy","Ryan Reynolds","Walker Scobell"
"tt2463288","movie","Walk of Shame","Walk of Shame",0,2014,95,"Comedy","6","Steven Brill","Elizabeth Banks","James Marsden"
"tt2465146","movie","And So It Goes","And So It Goes",0,2014,94,"Comedy","5.9","Rob Reiner","Michael Douglas","Diane Keaton"
"tt2465578","movie","Human Capital","Il capitale umano",0,2013,111,"Crime","7.2","Paolo Virzì","Fabrizio Bentivoglio","Matilde Gioli"
"tt2486678","movie","5 to 7","5 to 7",0,2014,95,"Comedy","7.1","Victor Levin","Anton Yelchin","Bérénice Marlohe"
"tt2488496","movie","Star Wars: Episode VII - The Force Awakens","Star Wars: Episode VII - The Force Awakens",0,2015,138,"Action","7.8","J.J. Abrams","Daisy Ridley","John Boyega"
"tt2490326","movie","Cooties","Cooties",0,2014,88,"Action","5.7","Jonathan Milott","Elijah Wood","Rainn Wilson"
"tt2493486","movie","Last Knights","Last Knights",0,2015,115,"Action","6.2","Kazuaki Kiriya","Clive Owen","Morgan Freeman"
"tt2494280","movie","Stretch","Stretch",0,2014,94,"Comedy","6.5","Joe Carnahan","Patrick Wilson","Ed Helms"
"tt2494362","movie","Bone Tomahawk","Bone Tomahawk",0,2015,132,"Drama","7.1","S. Craig Zahler","Kurt Russell","Patrick Wilson"
"tt2495118","movie","Ip Man: The Final Fight","Yip Man: Jung gik yat zin",0,2013,100,"Action","6.1","Herman Yau","Anthony Chau-Sang Wong","Gillian Chung"
"tt2510894","movie","Hotel Transylvania 2","Hotel Transylvania 2",0,2015,89,"Adventure","6.6","Genndy Tartakovsky","Adam Sandler","Andy Samberg"
"tt2513074","movie","Billy Lynn's Long Halftime Walk","Billy Lynn's Long Halftime Walk",0,2016,113,"Action","6.2","Ang Lee","Joe Alwyn","Garrett Hedlund"
"tt2515030","movie","Escobar: Paradise Lost","Escobar: Paradise Lost",0,2014,120,"Crime","6.5","Andrea Di Stefano","Benicio Del Toro","Josh Hutcherson"
"tt2515034","movie","The Gunman","The Gunman",0,2015,115,"Action","5.8","Pierre Morel","Sean Penn","Idris Elba"
